fighter_name,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Avg,career_TD_Acc,career_TD_Def,career_Sub_Avg,fighter_url
Gustavo Lopez,2.48,40%,3.87,57%,1.74,41%,31%,0.7,http://www.ufcstats.com/fighter-details/93b62c5f2ba18e51
Juan Mott,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/5da4e8dc02e50ac0
Paul Sass,0.53,26%,1.90,51%,0.53,16%,33%,7.4,http://www.ufcstats.com/fighter-details/7b143a54451263d9
War Machine,2.32,60%,3.17,43%,1.16,50%,40%,0.0,http://www.ufcstats.com/fighter-details/cd7bafbeee1f29a0
Patrick Cummins,4.26,50%,3.35,55%,4.49,41%,28%,0.1,http://www.ufcstats.com/fighter-details/e51e5cb722bd47a8
Tor Troeng,1.16,46%,3.26,32%,0.62,7%,66%,0.3,http://www.ufcstats.com/fighter-details/8abf70f79e9e27c2
Josh Wick,0.65,60%,6.52,41%,0.00,0%,80%,0.0,http://www.ufcstats.com/fighter-details/13935768cf8aeb86
Colton Smith,1.64,41%,2.30,51%,4.09,36%,25%,1.4,http://www.ufcstats.com/fighter-details/2e25c1d983c26311
Henry Corrales,4.12,41%,5.84,55%,0.00,0%,69%,0.0,http://www.ufcstats.com/fighter-details/7cb0946d51b8cde7
Jarno Errens,3.29,44%,3.29,61%,0.00,0%,33%,0.3,http://www.ufcstats.com/fighter-details/082eba4cd80f736f
Adam Piccolotti,4.61,50%,2.83,71%,2.96,60%,100%,3.0,http://www.ufcstats.com/fighter-details/fa399f7f6e17f7f5
Allen Crowder,2.95,51%,2.95,56%,1.85,33%,100%,1.2,http://www.ufcstats.com/fighter-details/a9d6e047ce48ab63
Aleksa Camur,4.73,57%,4.26,54%,0.46,22%,50%,0.0,http://www.ufcstats.com/fighter-details/c2a670b22d2e196f
Crezio de Souza,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/3746e21bb508391a
Virna Jandiroba,2.12,38%,2.73,57%,2.29,34%,73%,1.7,http://www.ufcstats.com/fighter-details/7dda2cf308f24a02
Syuri Kondo,5.40,44%,7.22,58%,0.00,0%,83%,0.3,http://www.ufcstats.com/fighter-details/a851c35f58199231
Kenji Osawa,2.34,35%,2.14,63%,0.91,58%,68%,0.7,http://www.ufcstats.com/fighter-details/8eb239a52fc4ec14
Alejandro Perez,3.45,35%,3.18,61%,0.54,22%,70%,0.3,http://www.ufcstats.com/fighter-details/80daefbed11ce998
Dwight Grant,3.29,36%,2.66,60%,0.61,100%,66%,0.0,http://www.ufcstats.com/fighter-details/8be158ca1e5ea6a0
Kazuyuki Fujita,1.05,49%,1.99,52%,2.78,36%,85%,0.6,http://www.ufcstats.com/fighter-details/b1605ea39fba6af6
Veta Arteaga,3.20,36%,1.92,65%,0.00,0%,40%,0.0,http://www.ufcstats.com/fighter-details/91e3388e69060e69
Brandon Melendez,0.84,26%,0.56,63%,0.00,0%,25%,0.0,http://www.ufcstats.com/fighter-details/2b06b6ad5db63348
Mark Dickman,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/2482ef3331a82e75
Marcos Bonilla,0.47,12%,0.47,94%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d311fbefff44a39b
Sean Strickland,5.95,42%,4.57,60%,0.73,64%,76%,0.2,http://www.ufcstats.com/fighter-details/0d8011111be000b2
Jared Hamman,5.15,42%,3.93,55%,1.57,46%,30%,0.0,http://www.ufcstats.com/fighter-details/23459ee7e373b98f
Pat Benson,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a25f3dc0df974597
Herbert Burns,1.86,36%,5.17,41%,2.94,34%,66%,1.8,http://www.ufcstats.com/fighter-details/4f140403000158b5
Sanae Kikuta,0.70,45%,0.90,52%,1.60,63%,25%,1.8,http://www.ufcstats.com/fighter-details/e4bde462b043d3e1
Todd Medina,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/b60391da771deefe
Aaron Tau,5.07,56%,5.00,58%,0.00,0%,54%,0.0,http://www.ufcstats.com/fighter-details/7abf7f8778472b7b
Amanda Lemos,3.16,54%,3.87,44%,0.90,63%,61%,0.8,http://www.ufcstats.com/fighter-details/3df5493bb279226f
Scott Smith,1.90,27%,5.87,50%,0.12,6%,58%,0.5,http://www.ufcstats.com/fighter-details/3410cf010558dc8b
Mike Rio,1.68,39%,2.99,53%,2.58,27%,0%,1.0,http://www.ufcstats.com/fighter-details/af90b10c785ced3e
Falaniko Vitale,1.88,49%,3.68,47%,0.72,33%,86%,0.0,http://www.ufcstats.com/fighter-details/445a98acb8985970
Leonard Garcia,2.77,24%,4.79,52%,0.30,26%,42%,0.5,http://www.ufcstats.com/fighter-details/917e53fa0adea0d3
Dong Sik Yoon,0.99,36%,2.33,51%,1.60,29%,33%,1.3,http://www.ufcstats.com/fighter-details/ad99fa5325519169
Logan Urban,2.55,66%,16.60,27%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/5e23f30e9c6ed74e
Mizuto Hirota,3.36,40%,3.50,54%,1.36,50%,58%,0.1,http://www.ufcstats.com/fighter-details/35faad160d346839
John Maguire,1.41,41%,2.44,65%,2.80,46%,77%,1.1,http://www.ufcstats.com/fighter-details/1a7745388839e52b
Daniel Acacio,3.52,36%,2.85,62%,0.33,20%,81%,0.0,http://www.ufcstats.com/fighter-details/1c5879330d42255f
Melissa Mullins,3.43,56%,3.26,49%,1.53,37%,85%,0.0,http://www.ufcstats.com/fighter-details/bd532e9a2b93870c
Journey Newson,2.64,32%,2.57,64%,0.56,16%,43%,0.3,http://www.ufcstats.com/fighter-details/78f485f851891d68
Tito Jones,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/7b223a22a6c26868
Dan Henderson,2.44,47%,2.70,51%,1.52,52%,57%,0.3,http://www.ufcstats.com/fighter-details/1ccf4e7caff270df
Waylon Kennell,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/9b8a73b59be8d786
Steve Lopez,1.39,24%,2.69,62%,0.00,0%,37%,0.0,http://www.ufcstats.com/fighter-details/6085ceb59087514b
Ivan Erslan,2.60,56%,3.00,62%,1.00,50%,75%,0.0,http://www.ufcstats.com/fighter-details/64ad3e3b0efa30bb
Joselyne Edwards,4.48,52%,3.19,49%,1.23,39%,61%,0.6,http://www.ufcstats.com/fighter-details/f9ab66e67240db7b
Jeff Hougland,1.86,48%,3.46,47%,0.86,18%,0%,1.1,http://www.ufcstats.com/fighter-details/97a8f39186f489db
Sean Loeffler,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d3d1ff3f3dfa0931
Shunichi Shimizu,0.14,33%,4.68,30%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/10657c60ce349e0f
Carlos Hernandez,3.90,45%,3.43,50%,1.60,21%,67%,0.2,http://www.ufcstats.com/fighter-details/798e48f9e7f6ba22
Frank Lester,2.18,36%,3.82,53%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/edd8d5d8089a35f8
Mark Vorgeas,3.87,32%,4.19,51%,0.00,0%,50%,0.8,http://www.ufcstats.com/fighter-details/ef0344ed552d8a22
Mike Kyle,3.93,51%,3.35,49%,1.33,62%,50%,0.8,http://www.ufcstats.com/fighter-details/56b8b24f65f9f057
Francesco Maturi,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d3b5ad3b15a64a18
Liana Jojua,2.42,30%,5.32,54%,1.71,66%,50%,1.3,http://www.ufcstats.com/fighter-details/eebc23626e38f5dc
Rinat Fakhretdinov,4.78,52%,3.58,53%,3.95,34%,91%,0.2,http://www.ufcstats.com/fighter-details/8f765fd5775a8873
Adam Hunter,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/edc9eb3051f444fa
Ernesta Kareckaite,7.38,42%,6.09,48%,0.67,66%,82%,0.0,http://www.ufcstats.com/fighter-details/e4faa79383c9f214
Vagner Rocha,2.64,42%,4.50,48%,1.40,33%,50%,1.9,http://www.ufcstats.com/fighter-details/d403b1a6f278c95e
Colley  Bradford,0.43,25%,1.73,50%,19.42,50%,100%,0.0,http://www.ufcstats.com/fighter-details/1433786ac76cf777
Adam Meredith,2.63,50%,2.11,55%,7.89,100%,100%,7.9,http://www.ufcstats.com/fighter-details/c1135a6892e916db
Johnny Sampaio,1.32,40%,2.64,50%,9.89,50%,0%,9.9,http://www.ufcstats.com/fighter-details/b23388ff8ac6637b
Logan Nail,1.93,51%,2.27,39%,0.00,0%,37%,0.0,http://www.ufcstats.com/fighter-details/47e0b5833e6bc91a
Alexander Volkov,4.97,57%,2.99,54%,0.61,66%,72%,0.2,http://www.ufcstats.com/fighter-details/279566840aa55bf2
Ulysses Gomez,2.72,25%,3.57,68%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/1e35aa8955794580
Austin Springer,3.54,57%,3.15,41%,3.37,40%,100%,0.8,http://www.ufcstats.com/fighter-details/37cc294027f55e4d
JunYoung Hong,2.10,39%,2.30,48%,0.00,0%,35%,0.0,http://www.ufcstats.com/fighter-details/b24666e26bd750a3
Cody Garbrandt,2.98,40%,3.76,60%,1.03,34%,80%,0.0,http://www.ufcstats.com/fighter-details/d8c7c61b176e3994
Victor Jones,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/04f0471f221db717
Tatsuro Taira,2.99,60%,2.69,46%,2.73,44%,45%,1.6,http://www.ufcstats.com/fighter-details/4461d7e47375a895
David Velasquez,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/09c44b317c98bf96
Gary Padilla,2.20,27%,2.00,76%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/01dd4cdc2446f665
Mirsad Bektic,2.43,41%,1.80,57%,3.98,52%,92%,0.4,http://www.ufcstats.com/fighter-details/cbd3e590a85b18c5
Kotetsu Boku,2.47,42%,2.80,53%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d227958e8a0c1466
Eddy Millis,0.00,0%,3.36,22%,0.00,0%,0%,7.2,http://www.ufcstats.com/fighter-details/f2c934689243fe4e
Chris Drumm,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/5fd834edd92c9e50
Nurullo Aliev,2.43,45%,1.07,58%,2.60,54%,0%,0.0,http://www.ufcstats.com/fighter-details/ca28cdf526d6b6e9
Sanford Alton Meeks,0.71,42%,4.47,38%,7.06,25%,0%,0.0,http://www.ufcstats.com/fighter-details/27c59ac201539d10
Jonavin Webb,1.47,30%,2.27,64%,2.50,31%,40%,1.0,http://www.ufcstats.com/fighter-details/f40ec51dd4de47c3
Ignacio Bahamondes,7.17,47%,4.41,57%,0.00,0%,85%,0.3,http://www.ufcstats.com/fighter-details/e4a47b07044ddd72
Keith Jardine,3.25,36%,2.98,59%,1.18,45%,62%,0.7,http://www.ufcstats.com/fighter-details/b9d0fd83bb8a147a
Goran Reljic,1.69,37%,2.69,59%,1.69,50%,33%,1.1,http://www.ufcstats.com/fighter-details/132f860d02953f4c
Pannie Kianzad,4.88,49%,4.09,51%,0.41,33%,65%,0.1,http://www.ufcstats.com/fighter-details/91dac5e69e28d5b5
Ronal Siahaan,0.63,66%,6.17,25%,0.00,0%,25%,0.0,http://www.ufcstats.com/fighter-details/762226efa2b01654
Sean Alvarez,0.89,37%,3.25,47%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/e741536153227386
Cyrille Diabate,4.06,71%,1.78,60%,1.17,83%,53%,0.2,http://www.ufcstats.com/fighter-details/43563a32c3f10e95
Sarah Alpar,2.36,44%,6.06,38%,1.61,26%,20%,0.4,http://www.ufcstats.com/fighter-details/49b130de1da2e1bf
Fernando Bruno,1.75,39%,1.78,48%,2.02,22%,56%,0.5,http://www.ufcstats.com/fighter-details/b8c0f30ee9a98b69
Marc Cofer,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/e90d9d0681270953
Ciryl Gane,5.26,61%,2.23,61%,0.70,25%,43%,0.6,http://www.ufcstats.com/fighter-details/787bb1f087ccff8a
Paul Taylor,4.44,47%,4.47,55%,0.27,25%,56%,0.5,http://www.ufcstats.com/fighter-details/9b74de674c355425
Jordan Griffin,2.52,46%,3.02,50%,1.45,35%,42%,1.9,http://www.ufcstats.com/fighter-details/ebef46976554f975
Junior Barata,4.03,33%,8.46,34%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/06dced58ca24a6bd
Dan Miller,2.03,36%,3.06,49%,1.67,54%,47%,1.8,http://www.ufcstats.com/fighter-details/d0c29452d3272603
Serghei Spivac,3.49,49%,3.77,48%,4.56,65%,63%,0.6,http://www.ufcstats.com/fighter-details/e2f6b2769aaedd6c
Amanda Nunes,4.55,51%,2.62,57%,2.73,54%,82%,0.7,http://www.ufcstats.com/fighter-details/80fa8218c99f9c58
Rustam Khabilov,1.98,34%,2.16,65%,3.95,41%,61%,0.1,http://www.ufcstats.com/fighter-details/9b7694d064a8a0ad
Ramon Taveras,4.62,44%,7.41,57%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/c5ccd878231c5407
Max Rohskopf,1.70,31%,5.80,42%,3.00,33%,0%,1.5,http://www.ufcstats.com/fighter-details/59a27d2e6d0802ac
Roque Martinez,3.28,53%,4.90,56%,0.38,50%,53%,0.4,http://www.ufcstats.com/fighter-details/2c5a0b8317f8f27a
Damon Jackson,2.96,42%,3.47,49%,2.30,32%,37%,1.2,http://www.ufcstats.com/fighter-details/29af297d9f1de0f8
Kerry Schall,0.94,11%,4.84,63%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/030f08370fd1c2bb
Lee Higgins,1.02,26%,3.68,40%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/88432fe79d5091d9
Daniel Gracie,1.90,38%,1.33,59%,0.36,100%,80%,2.1,http://www.ufcstats.com/fighter-details/82d6a9ae41aac3f7
Dione Barbosa,1.85,48%,2.49,66%,1.73,28%,42%,2.2,http://www.ufcstats.com/fighter-details/27b388f0aab49780
Wes Shivers,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ad863b0d57952c57
Papy Abedi,2.80,55%,3.15,48%,3.47,57%,50%,1.3,http://www.ufcstats.com/fighter-details/c9f6385af6df66d7
Brad Mitchell,1.15,33%,4.20,52%,0.00,0%,100%,1.9,http://www.ufcstats.com/fighter-details/7263e0dc082adc87
Brad Imes,2.73,31%,4.24,49%,1.72,71%,0%,1.0,http://www.ufcstats.com/fighter-details/4908c5ee68a50ee5
Kyler Phillips,5.28,44%,3.47,60%,2.63,51%,75%,0.4,http://www.ufcstats.com/fighter-details/60425d07ef4b91a7
Johnny Walker,3.87,53%,3.12,44%,0.45,100%,57%,0.9,http://www.ufcstats.com/fighter-details/c21f26bbde777573
Blake Watkins,5.45,62%,7.64,61%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/117580b232409824
Chibwikem Onyenegecha,5.60,55%,3.40,52%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/887e09328cd63df1
Alex Caceres,4.21,49%,3.09,62%,0.54,68%,64%,0.7,http://www.ufcstats.com/fighter-details/7aa3d6964eff4877
LC Davis,2.04,30%,2.10,59%,2.27,46%,66%,0.2,http://www.ufcstats.com/fighter-details/6dab8ce5e4bffe77
Zelim Imadaev,2.91,36%,4.35,43%,0.38,50%,60%,0.0,http://www.ufcstats.com/fighter-details/7f0f171414d0a287
Loma Lookboonmee,4.10,57%,2.48,53%,1.90,50%,72%,0.1,http://www.ufcstats.com/fighter-details/4e30e4250cb08b61
Katlyn Cerminara,4.58,34%,4.48,62%,0.31,15%,50%,0.3,http://www.ufcstats.com/fighter-details/e872e9a9a902c045
Frank Trigg,2.79,46%,1.90,56%,2.35,47%,75%,0.8,http://www.ufcstats.com/fighter-details/d2d37e8eeb3abc8d
David Abbott,1.35,30%,3.55,38%,1.07,33%,66%,0.0,http://www.ufcstats.com/fighter-details/b361180739bed4b0
Ross Pearson,3.68,40%,4.09,62%,0.74,35%,75%,0.0,http://www.ufcstats.com/fighter-details/4f732e58ed907eff
Richie Santiago,3.87,49%,4.87,42%,0.00,0%,25%,0.0,http://www.ufcstats.com/fighter-details/9f95d6b5b459cc6b
Matt Arroyo,1.62,47%,2.01,58%,2.12,36%,100%,5.3,http://www.ufcstats.com/fighter-details/de62052b2ede65ba
Niklas Backstrom,1.12,41%,3.65,40%,2.92,80%,72%,2.2,http://www.ufcstats.com/fighter-details/39cc64bf0a269db9
Waylon Lowe,1.88,55%,2.40,53%,4.47,55%,83%,0.3,http://www.ufcstats.com/fighter-details/28f62d866c59c709
Eric Schwartz,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/79cbdf233e5e0496
Maiara Amanajas dos Santos,5.53,35%,24.47,33%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/247fbbfafea60bb1
Jessica Rakoczy,2.50,44%,3.55,64%,0.75,20%,0%,0.8,http://www.ufcstats.com/fighter-details/ffdeb4fbea09ce75
Tecia Pennington,4.82,47%,3.53,61%,0.57,14%,63%,0.1,http://www.ufcstats.com/fighter-details/31ef8b67e13495b3
Chris Cariaso,3.35,43%,2.23,61%,1.11,39%,57%,0.8,http://www.ufcstats.com/fighter-details/b2e3aca4cd363477
Wu Yanan,4.23,41%,4.95,49%,0.62,30%,63%,0.2,http://www.ufcstats.com/fighter-details/fdbefee0827e1567
Scott Askham,3.03,46%,3.52,52%,0.44,18%,65%,0.7,http://www.ufcstats.com/fighter-details/06827d70c53ff0d9
Duane Ludwig,4.62,44%,3.05,57%,0.43,25%,59%,0.1,http://www.ufcstats.com/fighter-details/84ac950d4c1722dd
Xavier Foupa-Pokam,1.47,43%,2.50,49%,0.00,0%,16%,0.0,http://www.ufcstats.com/fighter-details/ec33146e43e58933
Ryan Jensen,2.84,39%,2.99,59%,1.55,50%,31%,1.9,http://www.ufcstats.com/fighter-details/aae99701b21554e4
Alex Da Silva,2.14,46%,2.52,56%,1.97,43%,76%,0.3,http://www.ufcstats.com/fighter-details/c3ded6f7155f9ea4
Fatima Kline,2.21,47%,1.68,55%,1.84,100%,50%,0.0,http://www.ufcstats.com/fighter-details/745fa7b605f8e2da
Darian Weeks,4.49,51%,4.56,51%,2.00,30%,100%,0.0,http://www.ufcstats.com/fighter-details/326a001926ffb7ec
Chris Liguori,0.29,33%,1.44,0%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/0e31bfd26cc8c503
Rainy Martinez,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/577ec7e108b94be3
Collin Huckbody,2.05,60%,2.73,42%,10.23,100%,0%,20.4,http://www.ufcstats.com/fighter-details/f372a848d250e006
Roger Huerta,3.64,36%,2.33,56%,2.13,46%,52%,0.5,http://www.ufcstats.com/fighter-details/daf1b84aebd6602b
Barb Honchak,4.04,30%,4.67,66%,0.00,0%,0%,1.3,http://www.ufcstats.com/fighter-details/472f6f6e6d962f40
Jeremy Kimball,2.81,46%,3.84,49%,1.41,20%,50%,0.0,http://www.ufcstats.com/fighter-details/917a5cb9821df261
Nick Meregali,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/2f6dc878d653c442
Derek Bohi,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/70a1c7626b5e0599
Charles Jourdain,5.43,48%,4.27,56%,0.34,21%,47%,0.6,http://www.ufcstats.com/fighter-details/f1d64ae34e088832
Emiliano Sordi,4.79,50%,4.79,48%,0.00,0%,100%,8.3,http://www.ufcstats.com/fighter-details/4c9b84d559822830
Julia Budd,2.42,74%,1.18,47%,3.60,57%,83%,0.0,http://www.ufcstats.com/fighter-details/dcdc4503b9d49977
Bruno Silva,3.54,49%,4.08,52%,1.92,25%,60%,0.2,http://www.ufcstats.com/fighter-details/294aa73dbf37d281
Eugenio Tadeu,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/f70144caea5c4c80
Egan Inoue,1.66,36%,3.31,57%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/37a6c95201592fea
Chris Padilla,5.80,61%,4.93,46%,3.26,75%,0%,1.1,http://www.ufcstats.com/fighter-details/06626b6287e1ae1e
Joe Benoit,0.00,0%,0.00,100%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a30f6d375dea5f9b
Clayton Carpenter,3.91,55%,2.75,55%,2.23,46%,42%,1.5,http://www.ufcstats.com/fighter-details/b62d5280966b2460
Chris Cope,3.96,26%,4.82,50%,0.00,0%,80%,0.0,http://www.ufcstats.com/fighter-details/8c8c92a12621d7e0
Akira Shoji,1.03,34%,2.63,53%,1.79,73%,82%,0.4,http://www.ufcstats.com/fighter-details/b0c95dc8e858452c
Mateo Vogel,4.47,46%,2.87,65%,1.00,16%,0%,0.0,http://www.ufcstats.com/fighter-details/90b57b19d20e1969
Brennan Ward,7.20,60%,2.76,52%,0.00,0%,100%,3.6,http://www.ufcstats.com/fighter-details/67cd6495280b0a57
